step	accuracy
0	0.8146067415730337
1	0.8202247191011236
2	0.8202247191011236
3	0.8258426966292135
4	0.8370786516853933
5	0.8202247191011236
6	0.8314606741573034
7	0.8370786516853933
8	0.8314606741573034
9	0.8202247191011236
