step	accuracy
0	0.8033707865168539
1	0.7921348314606742
2	0.797752808988764
3	0.8033707865168539
4	0.7921348314606742
5	0.7921348314606742
6	0.8258426966292135
7	0.7696629213483146
8	0.7808988764044944
9	0.7696629213483146
